year,week,date,team,rank
2022,2022-W35,2022-09-04,Minnesota,42
2022,2022-W35,2022-09-04,Texas Tech,43
2022,2022-W35,2022-09-04,Wake Forest,45
2022,2022-W35,2022-09-04,Iowa St,45
2022,2022-W35,2022-09-04,Old Dominion,46
2022,2022-W35,2022-09-04,UAB,47
2022,2022-W35,2022-09-04,Auburn,48
2022,2022-W35,2022-09-04,Purdue,50
2022,2022-W35,2022-09-04,Cincinnati,50
2022,2022-W35,2022-09-04,UCF,53
2022,2022-W35,2022-09-04,Washington St,53
2022,2022-W35,2022-09-04,Air Force,53
2022,2022-W35,2022-09-04,Washington,54
2022,2022-W35,2022-09-04,Liberty,55
2022,2022-W35,2022-09-04,Fresno St,57
2022,2022-W35,2022-09-04,Tulane,57
2022,2022-W35,2022-09-04,Oregon,58
2022,2022-W35,2022-09-04,Arizona St,59
2022,2022-W35,2022-09-04,Ohio,61
2022,2022-W35,2022-09-04,Coastal Carolina,61
2022,2022-W35,2022-09-04,Utah St,62
2022,2022-W35,2022-09-04,Louisiana,63
2022,2022-W35,2022-09-04,USC,66
2022,2022-W35,2022-09-04,Nevada,66
2022,2022-W35,2022-09-04,West Virginia,68
2022,2022-W35,2022-09-04,Central Michigan,68
2022,2022-W35,2022-09-04,Missouri,69
2022,2022-W35,2022-09-04,East Carolina,70
2022,2022-W35,2022-09-04,Virginia,72
2022,2022-W35,2022-09-04,Stanford,72
2022,2022-W35,2022-09-04,WKU,73
2022,2022-W35,2022-09-04,Vanderbilt,74
2022,2022-W35,2022-09-04,Kansas,75
2022,2022-W35,2022-09-04,Boise St,78
2022,2022-W35,2022-09-04,California,78
2022,2022-W35,2022-09-04,Toledo,78
2022,2022-W35,2022-09-04,Marshall,79
2022,2022-W35,2022-09-04,Utah,80
2022,2022-W35,2022-09-04,USF,82
2022,2022-W35,2022-09-04,Northern Illinois,82
2022,2022-W35,2022-09-04,LSU,84
2022,2022-W35,2022-09-04,Wyoming,84
2022,2022-W35,2022-09-04,Georgia St,85
2022,2022-W35,2022-09-04,Louisville,88
2022,2022-W35,2022-09-04,Miami (OH),88
2022,2022-W35,2022-09-04,Georgia Tech,88
2022,2022-W35,2022-09-04,UNLV,89
2022,2022-W35,2022-09-04,Memphis,91
2022,2022-W35,2022-09-04,Georgia Southern,91
2022,2022-W35,2022-09-04,Nebraska,92
2022,2022-W35,2022-09-04,Eastern Michigan,94
2022,2022-W35,2022-09-04,South Alabama,94
2022,2022-W35,2022-09-04,Duke,95
2022,2022-W35,2022-09-04,San Jose St,96
2022,2022-W35,2022-09-04,New Mexico,98
2022,2022-W35,2022-09-04,Arkansas St,98
2022,2022-W35,2022-09-04,Western Michigan,99
2022,2022-W35,2022-09-04,Troy,100
2022,2022-W35,2022-09-04,Illinois,102
2022,2022-W35,2022-09-04,Akron,102
2022,2022-W35,2022-09-04,Appalachian St,103
2022,2022-W35,2022-09-04,Colorado St,104
2022,2022-W35,2022-09-04,North Texas,105
2022,2022-W35,2022-09-04,Ball St,107
2022,2022-W35,2022-09-04,FIU,107
2022,2022-W35,2022-09-04,Middle Tenn,109
2022,2022-W35,2022-09-04,UTSA,110
2022,2022-W35,2022-09-04,Boston College,112
2022,2022-W35,2022-09-04,Bowling Green,112
2022,2022-W35,2022-09-04,San Diego St,113
2022,2022-W35,2022-09-04,ULM,116
2022,2022-W35,2022-09-04,Colorado,119
2022,2022-W35,2022-09-04,Buffalo,119
2022,2022-W35,2022-09-04,Virginia Tech,125
2022,2022-W35,2022-09-04,Southern Miss,132
2022,2022-W35,2022-09-04,Connecticut,135
2022,2022-W35,2022-09-04,Tulsa,136
2022,2022-W35,2022-09-04,Kent St,137
2022,2022-W35,2022-09-04,Army,138
2022,2022-W35,2022-09-04,UMass,139
2022,2022-W35,2022-09-04,FAU,142
2022,2022-W35,2022-09-04,Navy,144
2022,2022-W35,2022-09-04,Texas St,144
2022,2022-W35,2022-09-04,Rice,147
2022,2022-W35,2022-09-04,UTEP,149
2022,2022-W35,2022-09-04,Louisiana Tech,152
2022,2022-W35,2022-09-04,Temple,164
2022,2022-W35,2022-09-04,New Mexico St,167
2022,2022-W35,2022-09-04,Hawaii,171
2022,2022-W35,2022-09-04,Charlotte,172
2022,2022-W36,2022-09-11,Arkansas,1
2022,2022-W36,2022-09-11,Alabama,2
2022,2022-W36,2022-09-11,Penn St,3
2022,2022-W36,2022-09-11,Ohio St,4
2022,2022-W36,2022-09-11,Kentucky,5
2022,2022-W36,2022-09-11,Oklahoma St,6
2022,2022-W36,2022-09-11,BYU,7
2022,2022-W36,2022-09-11,Tennessee,8
2022,2022-W36,2022-09-11,Mississippi St,9
2022,2022-W36,2022-09-11,Oregon St,10
2022,2022-W36,2022-09-11,Georgia,11
2022,2022-W36,2022-09-11,Texas Tech,12
2022,2022-W36,2022-09-11,Iowa St,13
2022,2022-W36,2022-09-11,Washington St,14
2022,2022-W36,2022-09-11,NC State,15
2022,2022-W36,2022-09-11,North Carolina,16
2022,2022-W36,2022-09-11,Kansas St,17
2022,2022-W36,2022-09-11,Michigan St,18
2022,2022-W36,2022-09-11,Clemson,20
2022,2022-W36,2022-09-11,Liberty,20
2022,2022-W36,2022-09-11,Pittsburgh,22
2022,2022-W36,2022-09-11,Florida St,22
2022,2022-W36,2022-09-11,South Carolina,23
2022,2022-W36,2022-09-11,Wake Forest,24
2022,2022-W36,2022-09-11,Florida,25
2022,2022-W36,2022-09-11,Syracuse,26
2022,2022-W36,2022-09-11,Mississippi,27
2022,2022-W36,2022-09-11,East Carolina,29
2022,2022-W36,2022-09-11,Marshall,29
2022,2022-W36,2022-09-11,SMU,30
2022,2022-W36,2022-09-11,Texas,31
2022,2022-W36,2022-09-11,Indiana,32
2022,2022-W36,2022-09-11,Duke,33
2022,2022-W36,2022-09-11,Auburn,34
2022,2022-W36,2022-09-11,UCLA,35
2022,2022-W36,2022-09-11,Rutgers,36
2022,2022-W36,2022-09-11,USC,37
2022,2022-W36,2022-09-11,"Miami, Fl",39
2022,2022-W36,2022-09-11,TCU,39
2022,2022-W36,2022-09-11,Minnesota,40
2022,2022-W36,2022-09-11,Oklahoma,41
2022,2022-W36,2022-09-11,Kansas,42
2022,2022-W36,2022-09-11,Louisville,43
2022,2022-W36,2022-09-11,James Madison,44
2022,2022-W36,2022-09-11,Baylor,45
2022,2022-W36,2022-09-11,Louisiana,46
2022,2022-W36,2022-09-11,Air Force,48
2022,2022-W36,2022-09-11,Appalachian St,48
2022,2022-W36,2022-09-11,Arizona,49
2022,2022-W36,2022-09-11,Purdue,51
2022,2022-W36,2022-09-11,Cincinnati,51
2022,2022-W36,2022-09-11,Michigan,52
2022,2022-W36,2022-09-11,California,53
2022,2022-W36,2022-09-11,South Alabama,54
2022,2022-W36,2022-09-11,Tulane,55
2022,2022-W36,2022-09-11,Boise St,57
2022,2022-W36,2022-09-11,Houston,57
2022,2022-W36,2022-09-11,Maryland,58
2022,2022-W36,2022-09-11,Oregon,59
2022,2022-W36,2022-09-11,Coastal Carolina,61
2022,2022-W36,2022-09-11,Wisconsin,62
2022,2022-W36,2022-09-11,Iowa,63
2022,2022-W36,2022-09-11,Illinois,66
